sessionId,timestamp,username,label,combinedScore,ambientScore,captchaScore,deviceOs,deviceBrowser,screenResolution,devicePixelRatio,networkLatencyMs,straightnessMean,straightnessStd,dirEntropyMean,dirEntropyStd,velCvMean,velCvStd,velStdMean,accelStdMean,preDwellMean,preDwellStd,reactionMsMean,overshootMean,idleBurstMean,trajPointsMean,arcLengthMean,flags
d8b9e306-163c-4ebd-a488-b2ad98b1bb61,2026-04-14T04:13:43.719Z,Andy_Anirlen,human,20,0,30,Windows,Firefox,1536x864,1.25,525,0.77257,0.19087,1.23042,0.271,0.65783,0.11658,0.26175,0.21821,225.0,33.74414,280.33333,0.0,0,21.66667,126.57448,insufficient_data;no_target_overshoot
df705d20-2204-4d18-8b1f-60106438ad4d,2026-04-14T04:13:53.390Z,Andy_Anirlen,human,3,0,5,Windows,Firefox,1536x864,1.25,556,0.80501,0.16284,1.72892,0.21514,1.52668,1.01413,1.70942,2.30123,204.66667,17.78264,282.66667,0.33333,0,21.66667,177.37187,insufficient_data
de650147-4cfb-4622-bf9a-819339af96d7,2026-04-14T04:14:12.459Z,Andy_Anirlen,human,13,0,20,Windows,Firefox,1536x864,1.25,539,0.76606,0.01912,1.97906,0.29739,0.71943,0.09334,0.3936,0.30777,256.66667,131.35787,191.66667,0.0,0,25.0,237.70726,insufficient_data;no_target_overshoot
30dae987-b232-4f12-987f-9a3d25c6122c,2026-04-14T04:14:25.666Z,Andy_Anirlen,human,0,0,0,Windows,Firefox,1536x864,1.25,538,0.75891,0.3151,1.25002,0.30943,1.17234,0.4182,1.28289,1.20716,162.0,9.27362,289.66667,0.66667,0,18.0,210.1704,insufficient_data
0c104bda-d015-4a49-9d59-4adfb905cda0,2026-04-14T04:14:50.775Z,Andy_Anirlen,human,3,0,5,Windows,Firefox,1536x864,1.25,525,0.68424,0.18388,1.88902,0.33153,0.66972,0.11204,0.39764,0.31621,170.33333,30.94439,227.33333,0.33333,0,19.0,171.01173,insufficient_data
833ba3a2-c8a6-4559-95fa-081a3541ea8c,2026-04-14T04:15:02.026Z,Andy_Anirlen,human,3,0,5,Windows,Firefox,1536x864,1.25,546,0.85518,0.11526,1.16805,0.68459,0.72414,0.28402,0.32794,0.29893,247.66667,39.80229,213.66667,0.33333,0,21.66667,150.49657,insufficient_data
052b1b18-6871-413c-a4c6-baea04f1deec,2026-04-14T04:15:11.402Z,Andy_Anirlen,human,10,0,15,Windows,Firefox,1536x864,1.25,588,0.89832,0.07541,1.43943,0.25344,0.75165,0.14998,0.34368,0.25532,182.0,32.78211,256.66667,0.33333,0,16.0,114.75509,insufficient_data
de323146-2728-414e-b1a4-c17c2620fba8,2026-04-14T04:15:25.703Z,Andy_Anirlen,human,3,0,5,Windows,Firefox,1536x864,1.25,538,0.72344,0.18039,1.84791,0.47135,0.7731,0.32876,0.40384,0.26185,193.33333,39.20317,171.33333,0.66667,0,22.33333,199.869,insufficient_data
fd15f321-2807-458b-846b-4a8620f77706,2026-04-14T04:15:36.040Z,Andy_Anirlen,human,3,0,5,Windows,Firefox,1536x864,1.25,513,0.51218,0.29582,1.54236,0.26756,0.62934,0.08019,0.39168,0.38984,173.66667,9.87702,206.66667,0.33333,0,21.66667,207.05977,insufficient_data
0043f845-0759-4ad9-ba6a-7799e32dadf6,2026-04-14T04:15:51.892Z,Andy_Anirlen,human,10,0,15,Windows,Firefox,1536x864,1.25,536,0.76173,0.17915,1.48314,0.40479,0.49643,0.08897,0.24061,0.22111,190.66667,11.1455,204.33333,0.33333,0,24.0,179.92923,insufficient_data
